 epsilon =   9.99999993922529029E-009
 iteration:          500
 relative error =   5.49501557818211526E-004
 iteration:         1000
 relative error =   1.70323743169829037E-004
 iteration:         1500
 relative error =   6.12114540364069084E-005
 iteration:         2000
 relative error =   2.25384304266846509E-005
 iteration:         2500
 relative error =   8.35964535153492275E-006
 iteration:         3000
 relative error =   3.10882879600908660E-006
 iteration:         3500
 relative error =   1.15725940385589347E-006
 iteration:         4000
 relative error =   4.30946077248999775E-007
 iteration:         4500
 relative error =   1.60499662089030660E-007
 iteration:         5000
 relative error =   5.97788124169836941E-008
 iteration:         5500
 relative error =   2.22653038927788791E-008
 iteration:         5905
  28  16 0.10071452
  29  16 0.09930943
  30  16 0.09751241
  31  16 0.09533056
  32  16 0.09277248
  33  16 0.08984827
  34  16 0.08656947
  35  16 0.08294901
  36  16 0.07900120
  37  16 0.07474161
  38  16 0.07018704
  39  16 0.06535548
  40  16 0.06026599
  41  16 0.05493865
  42  16 0.04939450
  43  16 0.04365542
  44  16 0.03774404
  45  16 0.03168370
  46  16 0.02549833
  47  16 0.01921232
  48  16 0.01285049
  49  16 0.00643795
   1  17 0.00698052
   2  17 0.01393349
   3  17 0.02083147
   4  17 0.02764724
   5  17 0.03435390
   6  17 0.04092498
   7  17 0.04733455
   8  17 0.05355731
   9  17 0.05956871
  10  17 0.06534501
  11  17 0.07086342
  12  17 0.07610218
  13  17 0.08104059
  14  17 0.08565917
  15  17 0.08993969
  16  17 0.09386526
  17  17 0.09742039
  18  17 0.10059104
  19  17 0.10336471
  20  17 0.10573044
  21  17 0.10767891
  22  17 0.10920241
  23  17 0.11029495
  24  17 0.11095220
  25  17 0.11117157
  26  17 0.11095220
  27  17 0.11029495
  28  17 0.10920241
  29  17 0.10767891
  30  17 0.10573044
  31  17 0.10336471
  32  17 0.10059104
  33  17 0.09742039
  34  17 0.09386526
  35  17 0.08993969
  36  17 0.08565917
  37  17 0.08104059
  38  17 0.07610218
  39  17 0.07086342
  40  17 0.06534501
  41  17 0.05956871
  42  17 0.05355731
  43  17 0.04733455
  44  17 0.04092498
  45  17 0.03435390
  46  17 0.02764724
  47  17 0.02083147
  48  17 0.01393349
  49  17 0.00698052
   1  18 0.00755064
   2  18 0.01507148
   3  18 0.02253284
   4  18 0.02990528
   5  18 0.03715969
   6  18 0.04426745
   7  18 0.05120050
   8  18 0.05793149
   9  18 0.06443386
  10  18 0.07068193
  11  18 0.07665105
  12  18 0.08231766
  13  18 0.08765941
  14  18 0.09265520
  15  18 0.09728533
